dir_id,inventory_number,name,has_tif,has_tfw,has_georef
001237,T.D-16.10,Schron z Nietoperzami,True,False,False
001238,T.D-16.11,Myślenicki Korytarzyk,True,False,False
001239,T.D-12.13,Jaskinia nad Wyżniem,True,False,False
001240,T.D-16.12,Szczelina w Myślenickich Turniach Dolna,True,False,False
001241,T.D-16.13,Szczelina w Myślenickich Turniach Górna,True,False,False
001242,T.D-12.14,Szczelina nad Wyżniem,True,False,False
001243,T.D-16.14,Jaskinia Zwolińskiego,True,False,False
001244,T.D-12.15,Szczelina pod Zagonną Turnią,True,False,False
001245,T.D-17.01,Jaskinia Kasprowa Wyżnia,True,False,False
001246,T.D-12.16,Nyża z Kozicami,True,False,False
001247,T.D-17.02,Jaskinia Kasprowa Średnia,True,False,False
001248,T.D-12.17,Schron Partyzantów II,True,False,False
001249,T.D-12.18,Szczelina nad Zagonem,True,False,False
001250,T.D-17.05,Szczelina w Zawraciku Kasprowym I,True,False,False
001251,T.D-17.06,Kasprowe Schronisko,True,False,False
001252,T.D-17.07,Szczelina w Zawraciku Kasprowym II,True,False,False
001253,T.D-17.08,Jaskinia pod Limbą,True,False,False
001254,T.D-12.19,Jaskinia Śpiących Rycerzy Wyżnia,True,False,False
001255,T.D-17.09,Jaskinia Partyzancka I,True,False,False
001256,T.D-12.20,Dziura nad Jaskinią Śpiących Rycerzy I,True,False,False
001257,T.D-17.10,Szczelina nad Partyzancką,True,False,False
001258,T.D-12.21,Dziura nad Jaskinią Śpiących Rycerzy II,True,False,False
001259,T.D-12.22,Dziura nad Jaskinią Śpiących Rycerzy III,True,False,False
001260,T.D-12.23,Szczelina przy Nyży z Kozicami,True,False,False
001261,T.D-17.11,Schronisko Jasne w Czubie Jaworzyńskiej,True,False,False
001262,T.D-17.12,Jaskinia w Czubie Jaworzyńskiej,True,False,False
001263,T.D-17.13,Jaskinia Partyzancka II,True,False,False
001264,T.D-17.14,Nyża pod Zawracikiem,True,False,False
001267,T.D-17.15,Dziura pod Kamieniem,True,False,False
001268,T.D-17.16,Nisza w Zawraciku Kasprowym,True,False,False
001269,T.D-17.17,Szczelina w Zawraciku Kasprowym III,True,False,False
001270,T.D-17.18,Szczelina w Zawraciku Kasprowym IV,True,False,False
001271,T.D-17.19,Jaworzyńska Nyża pod Iglicą,True,False,False
001273,T.D-18.02,Schron nad Przełączką,True,False,False
001275,T.D-18.03,Nyża pod Jaskinią Magurską I,True,False,False
001276,T.D-18.04,Nyża pod Jaskinią Magurską II,True,False,False
001277,T.D-18.05,Nyża pod Jaskinią Magurską III,True,False,False
001278,T.D-18.06,Dziura pod Jaskinią Magurską,True,False,False
001279,T.D-18.07,Nyża pod Jaskinią Magurską IV,True,False,False
001282,T.E-04.01,Dziura w Zawiesistej,True,False,False
001283,T.E-05.01,Jaskinia Dwuotworowa w Iwanówce,True,False,False
001284,T.E-07.01,Awen Odpękniętych Nacieków,True,False,False
001285,T.E-07.02,Suchy Biwak,True,False,False
001286,T.E-05.02,Schronisko pod Dziobem I,True,False,False
001287,T.E-07.03,Jaskinia Mechata,True,False,False
001288,T.E-05.03,Schronisko pod Dziobem II,True,False,False
001289,T.E-07.04,Jaskinia Lejowa Wyżnia,True,False,False
001290,T.E-05.04,Schronisko pod Dziobem III,True,False,False
001291,T.E-07.05,Tylkowa Szczelina,True,False,False
001292,T.E-05.05,Schron za Smrekiem,True,False,False
001293,T.E-05.06,Schron z Płytą,True,False,False
