dir_id,inventory_number,name,n_submissions,lat,lon,pixels_per_meter,north_angle_deg,ppm_cv,entrance_std_px,flag,has_tif,has_tfw,has_georef
001133,T.D-08.44,Sowia Jama III,5,49.247425,19.863889,194.63,0.0,0.007,1.63,,True,False,False
001134,T.D-08.41,Wiciowy Schron,5,49.245906,19.862178,196.93,0.0,0.0,1.47,,True,False,False
001135,T.D-08.46,Szczelina za Okrętem I,5,49.251439,19.858794,196.6,-0.001,0.001,1.36,,True,False,False
001136,T.D-08.45,Dziurawa Koleba,5,49.248981,19.867656,38.59,-0.001,0.001,0.84,,True,False,False
001137,T.D-08.47,Szczelina za Okrętem II,5,49.250781,19.8669,195.61,-0.002,0.002,1.91,,True,False,False
001138,T.D-08.48,Szczelina za Okrętem III,5,49.250781,19.866889,76.86,-0.026,0.001,0.61,,True,False,False
001139,T.D-08.49,Nisza z Jaworem,5,49.251489,19.866597,77.13,0.0,0.0,0.41,,True,False,False
001140,T.D-08.50,Komora w Okręcie,5,49.251714,19.866853,77.08,0.009,0.002,0.38,,True,False,False
001141,T.D-08.51,Szczelina pod Tunelem Pawlikowskiego,5,49.249697,19.866556,77.12,0.001,0.003,0.17,,True,False,False
001142,T.D-05.04,Szczelina w Osmętnicy,5,49.247758,19.820889,76.94,0.0,0.002,0.38,,True,False,False
001160,T.D-08.52,Schron ze Świeczką,5,49.250086,19.866683,77.24,0.0,0.002,0.63,,True,False,False
001161,T.D-08.53,Wąska Szczelina,5,49.250169,19.866172,77.1,0.036,0.001,0.41,,True,False,False
001162,T.D-08.54,Schron przy Naciekowej,5,49.249536,19.868414,195.8,0.003,0.0,1.49,,True,False,False
001163,T.D-08.55,Dziura w Organach VI,5,49.247047,19.866044,59.55,0.002,0.002,0.66,,True,False,False
001164,T.D-08.56,Jaskinia pod Murem,5,49.246906,19.8596,196.29,-0.002,0.0,1.22,,True,False,False
001166,T.D-08.58,Zamczysko Niżnie,5,49.247156,19.868494,38.67,0.0,0.002,0.47,,True,False,False
001167,T.D-08.59,Zamczysko Wyżnie,5,49.247094,19.868772,59.14,-0.0,0.001,0.46,,True,False,False
001168,T.D-08.60,Okno w Zamczysku,5,49.247292,19.868631,38.61,0.0,0.0,0.59,,True,False,False
001169,T.D-08.61,Nyża z Dzięglem,5,49.246814,19.868681,76.6,0.0,0.006,0.44,,True,False,False
001170,T.D-05.06,Schronisko w Kalwarii,5,49.250928,19.818822,77.03,0.011,0.0,0.55,,True,False,False
001171,T.D-08.62,Szczelina z Mostkiem,5,49.246817,19.868942,77.03,-0.023,0.0,0.52,,True,False,False
001172,T.D-09.01,Jaskinia Zakopiańska,5,49.247411,19.880906,98.3,0.006,0.002,1.23,,True,False,False
001173,T.D-09.02,Jaskinia przy Sikawce,5,49.248117,19.881,76.97,0.0,0.001,0.69,,True,False,False
001174,T.D-09.05,Żwirowa Dziura Wyżnia,5,49.248692,19.869311,38.65,-0.008,0.002,0.62,,True,False,False
001175,T.D-09.06,Żwirowa Dziura Niżnia,5,49.248647,19.869381,38.6,-0.007,0.0,0.83,,True,False,False
001176,T.D-05.07,Szczelina w Dudzińcu,5,49.247706,19.820136,77.47,0.126,0.004,0.38,,True,False,False
001177,T.D-05.08,Schronisko przy Jaskini w Dudzińcu,5,49.24785,19.821161,77.04,0.0,0.0,0.61,,True,False,False
001178,T.D-09.10,Dziura w Organach II,5,49.246858,19.870286,196.0,-0.001,0.002,1.59,,True,False,False
001179,T.D-09.07,Schron pomiędzy Żwirowymi Dziurami,5,49.248664,19.869339,38.65,0.015,0.001,0.54,,True,False,False
001180,T.D-05.09,Jaskinia w Dudzińcu,5,49.247758,19.820958,77.14,-0.007,0.0,0.45,,True,False,False
001181,T.D-09.08,Dziura w Organach IV,5,49.247003,19.869639,195.48,0.0,0.002,1.28,,True,False,False
001182,T.D-05.10,Szczelina nad Jaskinią w Dudzińcu,5,49.247758,19.820958,77.21,-0.0,0.001,0.61,,True,False,False
001184,T.D-09.11,Dziura w Organach I,5,49.2471,19.870406,196.55,0.0,0.004,1.43,,True,False,False
001185,T.D-09.12,Dziura w Organach V,5,49.247431,19.869272,77.14,0.004,0.004,0.39,,True,False,False
001187,T.D-10.01,Jaskinia Miętusia Wyżnia,5,49.245097,19.894492,23.64,0.006,0.0,0.83,,True,False,False
001189,T.D-10.03,Jaskinia Niedźwiedzia Niżnia,5,49.247772,19.895058,118.06,-89.865,0.004,1.01,,True,False,False
001190,T.D-10.04,Jaskinia Niedźwiedzia Średnia,5,49.246197,19.895094,77.25,0.0,0.002,0.77,,True,False,False
001191,T.D-10.05,Jaskinia w Małej Świstówce,5,49.245436,19.895317,38.55,0.009,0.003,0.65,,True,False,False
001192,T.D-10.06,Dziura nad Wantulami I,5,49.247581,19.894033,77.03,-0.033,0.003,0.67,,True,False,False
001193,T.D-10.07,Dziura nad Wantulami II,5,49.247628,19.8941,77.19,0.0,0.005,0.81,,True,False,False
001194,T.D-10.08,Dziura nad Wantulami III,5,49.247631,19.894375,77.02,0.0,0.002,0.58,,True,False,False
001195,T.D-10.09,Podwójna Szczelina,5,49.247408,19.894861,77.14,-0.006,0.001,0.5,,True,False,False
001196,T.D-10.10,Szczelina w Wołowym Żlebie,5,49.247367,19.895206,38.58,-0.005,0.005,0.36,,True,False,False
001198,T.D-11.02,Nyża przy Schodkach,5,49.246392,19.910883,77.19,0.0,0.002,0.37,,True,False,False
001199,T.D-11.03,Szczelina w Niedźwiedziu,5,49.248894,19.909044,76.98,-0.01,0.001,0.61,,True,False,False
001200,T.D-13.01,Kozia Grota,5,49.252719,19.937489,196.4,-0.024,0.004,1.48,,True,False,False
001201,T.D-13.02,Dziura w Szczerbie II,5,49.250236,19.937489,77.17,0.007,0.001,0.58,,True,False,False
001202,T.D-13.03,Dziura w Szczerbie I,5,49.250189,19.937228,77.19,0.042,0.005,0.77,,True,False,False
001203,T.D-12.01,Jaskinia Śpiących Rycerzy,5,49.249906,19.923417,19.44,-0.012,0.001,0.62,,True,False,False
001204,T.D-13.04,Szczelina w Żlebie Kirkora,5,49.253856,19.930217,77.33,0.012,0.001,0.78,,True,False,False
001205,T.D-13.05,Nyża pod Brzózką,5,49.253047,19.930133,196.96,0.002,0.001,0.89,,True,False,False
001206,T.D-13.06,Nyża w Siodłowej Turni,5,49.248678,19.927128,77.1,-0.004,0.003,0.51,,True,False,False
001207,T.D-12.02,Siwarowa Dziura,5,49.248181,19.914483,38.43,-0.004,0.002,0.39,,True,False,False
